,hashtags
lockdown,23996
stayhome,14721
staysafe,12061
indiafightscorona,11480
coronavirusoutbreak,9044
coronaviruspandemic,7145
worldhealthday,6586
covid_19india,6570
india,6254
stayhomestaysafe,6198
