,hashtags
lockdown,26599
stayhome,11774
indiafightscorona,8903
staysafe,8173
india,5905
sultanntrbdaymonthcdp,5257
stayhomestaysafe,4077
quarantine,4011
covid_19india,3954
coronavirusoutbreak,3718
