,hashtags
lockdown,31607
stayhome,13616
indiafightscorona,12111
staysafe,9218
india,7063
stayhomestaysafe,6083
quarantine,5431
coronavirusoutbreak,5177
socialdistancing,4824
covid_19india,4736
