,hashtags
lockdown,24538
coronaviruspandemic,15527
indiafightscorona,14739
covid19pandemic,12806
stayhome,11501
staysafe,11245
coronavirusoutbreak,8402
stayhomesavelives,8227
stayhomestaysafe,7105
india,7061
