,hashtags
lockdown,36692
coronavirusoutbreak,21495
coronalockdown,20737
coronaupdate,19060
indiafightscorona,18411
stayhome,16126
staysafe,14480
stayhomestaysafe,12761
quarantine,12070
coronavirusindia,11493
