date,total_score,count,normalised_score
2020-02-01,0.0,0,0.0
2020-02-02,0.0,0,0.0
2020-02-03,0.0,0,0.0
2020-02-04,0.5411,1,0.5411
2020-02-05,0.8176,1,0.8176
2020-02-06,0.0,0,0.0
2020-02-07,0.0,0,0.0
2020-02-08,0.0,0,0.0
2020-02-09,0.0,0,0.0
2020-02-10,0.0,0,0.0
2020-02-11,0.0,0,0.0
2020-02-12,0.0,0,0.0
2020-02-13,0.0,0,0.0
2020-02-14,0.6313,1,0.6313
2020-02-15,0.0,0,0.0
2020-02-16,0.0,0,0.0
2020-02-17,0.0,0,0.0
2020-02-18,0.7579,1,0.7579
2020-02-19,0.0,0,0.0
2020-02-20,0.0,0,0.0
2020-02-21,0.0,0,0.0
2020-02-22,0.0,0,0.0
2020-02-23,0.0,0,0.0
2020-02-24,0.0,0,0.0
2020-02-25,0.0,0,0.0
2020-02-26,0.0,0,0.0
2020-02-27,2.1601999999999997,3,0.7200666666666665
2020-02-28,2.3035,4,0.575875
2020-02-29,1.1136,2,0.5568
2020-03-01,0.0,0,0.0
2020-03-02,2.8101000000000003,3,0.9367000000000001
2020-03-03,0.0,0,0.0
2020-03-04,1.0364,3,0.34546666666666664
2020-03-05,0.9287,1,0.9287
2020-03-06,0.7783,1,0.7783
2020-03-07,0.0,0,0.0
2020-03-08,1.6695,2,0.83475
2020-03-09,0.0,0,0.0
2020-03-10,2.3265,4,0.581625
2020-03-11,0.9315,4,0.232875
2020-03-12,0.9808,1,0.9808
2020-03-13,-2.7587,8,-0.3448375
2020-03-14,2.4001,8,0.3000125
2020-03-15,2.5204,5,0.50408
2020-03-16,7.4618,17,0.4389294117647059
2020-03-17,20.059,39,0.5143333333333333
2020-03-18,8.898,18,0.4943333333333333
2020-03-19,5.7716,12,0.4809666666666667
2020-03-20,7.975700000000001,18,0.44309444444444446
2020-03-21,27.597400000000004,46,0.5999434782608697
2020-03-22,22.187099999999997,40,0.5546774999999999
2020-03-23,81.2,165,0.4921212121212121
2020-03-24,76.60550000000002,212,0.36134669811320763
2020-03-25,71.62839999999997,143,0.5008979020979019
2020-03-26,690.820500000003,1269,0.5443817966903097
2020-03-27,433.8585999999986,795,0.5457340880503128
2020-03-28,920.7936000000074,3221,0.2858719652281923
2020-03-29,998.0540000000079,3492,0.2858115693012623
2020-03-30,776.4389000000024,2742,0.28316517140773245
2020-03-31,727.9106000000014,2305,0.3157963557483737
2020-04-01,468.96979999999917,1465,0.3201159044368595
2020-04-02,326.6946999999998,1082,0.3019359519408501
2020-04-03,315.2266999999993,1140,0.27651464912280643
2020-04-04,265.4049999999997,884,0.3002319004524883
2020-04-05,155.8537999999998,586,0.2659621160409553
2020-04-06,165.40969999999982,553,0.2991133815551534
2020-04-07,604.2001999999998,1168,0.5172946917808218
2020-04-08,297.9500999999993,776,0.3839563144329888
2020-04-09,270.4252999999996,704,0.3841268465909085
2020-04-10,350.99739999999963,795,0.4415061635220121
2020-04-11,239.40959999999947,625,0.3830553599999992
2020-04-12,144.99109999999988,472,0.3071845338983048
2020-04-13,202.32779999999963,664,0.30471054216867416
2020-04-14,156.68929999999995,468,0.3348061965811965
2020-04-15,180.04409999999964,429,0.41968321678321596
2020-04-16,218.3285999999999,669,0.32635067264573975
2020-04-17,155.7619999999996,413,0.37714769975786827
2020-04-18,126.31779999999985,341,0.37043343108504356
2020-04-19,98.33599999999986,278,0.35372661870503547
2020-04-20,68.24589999999998,236,0.28917754237288124
2020-04-21,138.07909999999978,338,0.4085180473372775
2020-04-22,457.81209999999965,815,0.5617326380368094
2020-04-23,133.21979999999982,322,0.4137260869565212
2020-04-24,229.84110000000015,588,0.39088622448979615
2020-04-25,135.6646999999999,455,0.2981641758241756
2020-04-26,111.12689999999985,379,0.2932108179419521
2020-04-27,87.01659999999991,430,0.20236418604651144
2020-04-28,151.4826,420,0.36067285714285713
2020-04-29,77.26910000000012,291,0.26552955326460526
2020-04-30,77.54899999999995,241,0.3217800829875517
