date,total_score,count,normalised_score
2020-02-01,-6.145899999999998,36,-0.1707194444444444
2020-02-02,-3.6882,64,-0.057628125
2020-02-03,-6.848000000000003,104,-0.06584615384615387
2020-02-04,-9.8117,77,-0.12742467532467533
2020-02-05,-9.7908,66,-0.14834545454545456
2020-02-06,-5.202,83,-0.06267469879518073
2020-02-07,-11.928600000000003,81,-0.1472666666666667
2020-02-08,-11.8847,44,-0.2701068181818182
2020-02-09,-9.6513,62,-0.15566612903225807
2020-02-10,-15.007499999999995,79,-0.18996835443037968
2020-02-11,-15.0643,84,-0.17933690476190475
2020-02-12,-23.320999999999998,74,-0.3151486486486486
2020-02-13,-12.9201,95,-0.13600105263157894
2020-02-14,-6.9388,87,-0.07975632183908045
2020-02-15,-7.813399999999998,43,-0.181706976744186
2020-02-16,-10.523100000000003,46,-0.22876304347826093
2020-02-17,-16.509999999999998,106,-0.15575471698113205
2020-02-18,-6.7949,93,-0.07306344086021506
2020-02-19,0.17359999999999973,86,0.0020186046511627876
2020-02-20,-16.0845,98,-0.16412755102040816
2020-02-21,-2.7009000000000003,51,-0.05295882352941177
2020-02-22,-5.271100000000001,47,-0.11215106382978725
2020-02-23,-10.8636,56,-0.19399285714285713
2020-02-24,-24.345999999999993,136,-0.17901470588235288
2020-02-25,-15.0997,95,-0.1589442105263158
2020-02-26,-17.89039999999999,138,-0.12964057971014484
2020-02-27,-27.964499999999994,137,-0.20412043795620433
2020-02-28,-77.7115,253,-0.30716007905138343
2020-02-29,-41.7405,163,-0.2560766871165644
2020-03-01,-28.233699999999985,107,-0.26386635514018675
2020-03-02,-29.34689999999999,170,-0.17262882352941172
2020-03-03,-28.61779999999999,263,-0.10881292775665395
2020-03-04,-18.25630000000001,197,-0.09267157360406096
2020-03-05,-40.88429999999999,247,-0.16552348178137646
2020-03-06,-38.09349999999999,316,-0.12054905063291137
2020-03-07,-25.653200000000005,132,-0.1943424242424243
2020-03-08,-21.967400000000005,99,-0.22189292929292934
2020-03-09,-71.67599999999997,283,-0.2532720848056536
2020-03-10,-45.17690000000001,229,-0.19727903930131008
2020-03-11,-38.02010000000001,283,-0.1343466431095407
2020-03-12,-126.61099999999986,492,-0.25733943089430866
2020-03-13,-68.60479999999998,506,-0.13558260869565214
2020-03-14,-21.520500000000002,215,-0.10009534883720932
2020-03-15,-21.377199999999995,249,-0.08585220883534135
2020-03-16,-47.50240000000004,500,-0.09500480000000007
2020-03-17,-67.07290000000008,599,-0.1119747913188649
2020-03-18,-33.6691,325,-0.10359723076923077
2020-03-19,-13.092999999999991,277,-0.0472671480144404
2020-03-20,-19.89,305,-0.06521311475409836
2020-03-21,-27.14079999999997,254,-0.10685354330708649
2020-03-22,-28.679499999999994,344,-0.0833706395348837
2020-03-23,-75.85789999999996,584,-0.12989366438356156
2020-03-24,-34.139099999999964,773,-0.04416442432082789
2020-03-25,-58.77739999999998,504,-0.11662182539682535
2020-03-26,-88.83930000000001,897,-0.09904046822742475
2020-03-27,3.158999999999999,983,0.0032136317395727353
2020-03-28,-46.55109999999996,677,-0.06876085672082713
2020-03-29,-95.82399999999997,802,-0.1194812967581047
2020-03-30,-103.09589999999984,832,-0.12391334134615366
2020-03-31,-116.74469999999961,782,-0.14928989769820922
2020-04-01,-73.71150000000007,603,-0.12224129353233842
2020-04-02,-69.94119999999995,585,-0.11955760683760676
2020-04-03,-38.082600000000035,746,-0.051049061662198435
2020-04-04,-28.083599999999993,587,-0.04784258943781941
2020-04-05,5.958500000000004,516,0.011547480620155048
2020-04-06,-36.05230000000001,671,-0.05372921013412818
2020-04-07,-28.814299999999978,798,-0.03610814536340849
2020-04-08,-113.12739999999972,892,-0.1268244394618831
2020-04-09,-46.31750000000003,976,-0.04745645491803282
2020-04-10,-29.258400000000012,856,-0.03418037383177572
2020-04-11,-24.3632,859,-0.028362281722933643
2020-04-12,-64.47330000000002,847,-0.07611959858323497
2020-04-13,-5.0302999999999845,1231,-0.004086352558895195
2020-04-14,-44.64040000000003,1484,-0.030081132075471716
2020-04-15,-41.017199999999995,1101,-0.03725449591280654
2020-04-16,12.053899999999997,1309,0.009208479755538576
2020-04-17,3.5167000000000077,1367,0.0025725676664228292
2020-04-18,-0.1288000000000165,896,-0.00014375000000001843
2020-04-19,7.844199999999996,831,0.009439470517448853
2020-04-20,-54.88419999999998,861,-0.06374471544715445
2020-04-21,-50.602199999999975,1041,-0.04860922190201727
2020-04-22,11.60400000000001,983,0.01180467955239065
2020-04-23,-42.220699999999965,945,-0.04467798941798938
2020-04-24,-60.43749999999998,873,-0.06922966781214202
2020-04-25,1.8568000000000242,957,0.0019402298850574966
2020-04-26,24.813,1016,0.024422244094488187
2020-04-27,55.582300000000096,1289,0.04312048099301792
2020-04-28,20.4079,1113,0.018335938903863435
2020-04-29,-55.013999999999875,1114,-0.049384201077199166
2020-04-30,40.41579999999997,1572,0.025709796437659013
