date,total_score,count,normalised_score
2020-02-01,-5.594999999999994,289,-0.019359861591695483
2020-02-02,4.642499999999998,402,0.011548507462686562
2020-02-03,-6.350600000000001,605,-0.010496859504132233
2020-02-04,-34.39060000000002,487,-0.07061724845995898
2020-02-05,-21.4563,298,-0.0720010067114094
2020-02-06,-50.26340000000003,281,-0.17887330960854103
2020-02-07,-48.6355,263,-0.18492585551330798
2020-02-08,-44.450499999999984,197,-0.22563705583756338
2020-02-09,-35.36529999999998,229,-0.1544336244541484
2020-02-10,-12.8176,170,-0.07539764705882353
2020-02-11,-18.092900000000004,157,-0.11524140127388538
2020-02-12,-25.19730000000001,160,-0.15748312500000006
2020-02-13,-3.610199999999999,198,-0.018233333333333327
2020-02-14,-15.039799999999998,125,-0.12031839999999998
2020-02-15,-24.301899999999964,157,-0.15478917197452208
2020-02-16,-27.7482,137,-0.20254160583941605
2020-02-17,-10.322399999999995,131,-0.07879694656488545
2020-02-18,-68.02440000000004,254,-0.267812598425197
2020-02-19,-33.45410000000002,143,-0.23394475524475536
2020-02-20,-17.577399999999997,177,-0.09930734463276834
2020-02-21,-25.925499999999996,140,-0.18518214285714282
2020-02-22,-11.218999999999998,111,-0.10107207207207206
2020-02-23,-19.3496,123,-0.15731382113821138
2020-02-24,-18.6136,120,-0.15511333333333335
2020-02-25,-2.7237000000000005,102,-0.026702941176470592
2020-02-26,-10.448600000000006,143,-0.07306713286713291
2020-02-27,-5.948700000000002,168,-0.035408928571428584
2020-02-28,9.440299999999995,182,0.05186978021978019
2020-02-29,-5.9495,160,-0.037184375
2020-03-01,-23.57310000000001,166,-0.14200662650602416
2020-03-02,-15.189099999999998,295,-0.05148847457627118
2020-03-03,-15.538500000000008,481,-0.03230457380457382
2020-03-04,-11.917200000000012,579,-0.02058238341968914
2020-03-05,-41.148599999999995,570,-0.07219052631578947
2020-03-06,-47.916599999999924,477,-0.1004540880503143
2020-03-07,-24.08140000000001,343,-0.07020816326530616
2020-03-08,-7.070400000000005,341,-0.020734310850439898
2020-03-09,-53.291399999999946,570,-0.09349368421052622
2020-03-10,6.8854,455,0.015132747252747252
2020-03-11,-1.0035999999999985,546,-0.0018380952380952352
2020-03-12,-20.511500000000012,608,-0.03373601973684213
2020-03-13,-34.82249999999994,757,-0.04600066050198143
2020-03-14,-62.58240000000006,888,-0.07047567567567574
2020-03-15,25.012400000000028,914,0.02736586433260397
2020-03-16,-27.347599999999915,1315,-0.020796653992395372
2020-03-17,8.75479999999999,1442,0.006071289875173364
2020-03-18,-3.3853999999999953,735,-0.004605986394557816
2020-03-19,27.41569999999999,696,0.039390373563218374
2020-03-20,19.306199999999993,1061,0.018196229971724782
2020-03-21,-34.883499999999955,959,-0.036374869655891505
2020-03-22,117.07309999999971,1578,0.0741908111533585
2020-03-23,234.4627999999998,2671,0.0877809060277049
2020-03-24,153.30359999999988,2376,0.06452171717171712
2020-03-25,73.98090000000008,1509,0.04902644135188872
2020-03-26,100.89149999999927,2923,0.03451642148477566
2020-03-27,149.09150000000017,2434,0.06125369761709128
2020-03-28,168.76670000000027,2820,0.059846347517730596
2020-03-29,158.0436000000004,2848,0.055492837078651824
2020-03-30,79.5052,3695,0.021516968876860623
2020-03-31,139.53840000000014,3425,0.040741138686131426
2020-04-01,237.17280000000093,3320,0.07143759036144606
2020-04-02,132.86599999999984,3276,0.04055738705738701
2020-04-03,129.69329999999982,3137,0.04134309850175321
2020-04-04,155.10449999999983,2696,0.057531342729970264
2020-04-05,180.94880000000018,2997,0.060376643309976705
2020-04-06,260.07330000000036,3906,0.06658302611367137
2020-04-07,247.69289999999975,3345,0.07404869955156944
2020-04-08,259.4783,3285,0.07898882800608828
2020-04-09,96.44690000000013,3228,0.029878221809169804
2020-04-10,133.4045000000002,2689,0.04961119375232436
2020-04-11,115.44329999999997,2336,0.049419220890410946
2020-04-12,153.72280000000018,2299,0.066865071770335
2020-04-13,194.93660000000065,3124,0.06239967989756743
2020-04-14,450.6568000000025,3777,0.11931607095578567
2020-04-15,167.4192000000007,3002,0.0557692205196538
2020-04-16,220.10600000000014,3487,0.06312188127330087
2020-04-17,150.9941999999997,2826,0.053430360934182485
2020-04-18,158.21359999999987,3028,0.05225019815059441
2020-04-19,63.54930000000007,3154,0.020148795180722916
2020-04-20,88.41470000000007,2612,0.03384942572741197
2020-04-21,186.67700000000033,3284,0.05684439707673579
2020-04-22,214.7928000000005,2699,0.07958236383845887
2020-04-23,291.2167000000006,2860,0.1018240209790212
2020-04-24,161.33100000000016,2465,0.06544868154158222
2020-04-25,189.29310000000018,2419,0.07825262505167432
2020-04-26,108.13469999999997,2714,0.03984329403095061
2020-04-27,165.4290000000002,2704,0.061179363905325516
2020-04-28,137.13149999999976,2507,0.05469944156362176
2020-04-29,83.0546000000001,2472,0.03359813915857609
2020-04-30,184.36740000000057,2354,0.07832090059473261
