date,total_score,count,normalised_score
2020-02-01,5.002600000000006,300,0.016675333333333354
2020-02-02,-18.38430000000001,388,-0.047382216494845385
2020-02-03,-9.922700000000003,213,-0.046585446009389686
2020-02-04,-28.0201,328,-0.08542713414634145
2020-02-05,-0.021000000000001684,279,-7.526881720430711e-05
2020-02-06,-18.283699999999982,243,-0.07524156378600816
2020-02-07,-23.17069999999998,292,-0.07935171232876705
2020-02-08,-12.268099999999999,241,-0.05090497925311203
2020-02-09,-29.90019999999998,227,-0.13171894273127743
2020-02-10,-3.7588000000000017,277,-0.013569675090252713
2020-02-11,-1.8568,165,-0.011253333333333334
2020-02-12,7.8157,209,0.0373956937799043
2020-02-13,-1.0371000000000035,336,-0.003086607142857153
2020-02-14,-5.967800000000002,205,-0.029111219512195134
2020-02-15,-10.674899999999996,228,-0.04681973684210525
2020-02-16,-27.2724,286,-0.09535804195804196
2020-02-17,-8.045,310,-0.025951612903225806
2020-02-18,-7.9417,228,-0.03483201754385965
2020-02-19,-11.6623,192,-0.060741145833333336
2020-02-20,-21.3808,197,-0.10853197969543148
2020-02-21,-13.8083,186,-0.07423817204301075
2020-02-22,-10.9031,130,-0.08387
2020-02-23,-24.361399999999968,241,-0.10108464730290444
2020-02-24,-16.0813,211,-0.07621469194312795
2020-02-25,-4.351300000000003,177,-0.024583615819209054
2020-02-26,-11.30309999999999,177,-0.06385932203389824
2020-02-27,-5.376499999999999,274,-0.019622262773722626
2020-02-28,-0.7537000000000038,245,-0.0030763265306122606
2020-02-29,-16.270100000000003,202,-0.0805450495049505
2020-03-01,-11.906200000000002,194,-0.06137216494845362
2020-03-02,-7.414400000000004,233,-0.031821459227467826
2020-03-03,-21.43699999999997,411,-0.05215815085158143
2020-03-04,15.934900000000011,542,0.02940018450184504
2020-03-05,-9.844000000000001,398,-0.024733668341708547
2020-03-06,-4.252000000000001,389,-0.010930591259640104
2020-03-07,-23.107799999999987,374,-0.06178556149732617
2020-03-08,-79.46780000000018,759,-0.10470065876152856
2020-03-09,-23.209199999999974,705,-0.03292085106382975
2020-03-10,-65.21059999999991,948,-0.06878755274261594
2020-03-11,-2.443799999999993,905,-0.0027003314917126995
2020-03-12,29.17870000000004,1171,0.024917762596071768
2020-03-13,34.42560000000004,1315,0.026179163498098887
2020-03-14,4.246000000000001,1370,0.0030992700729927016
2020-03-15,124.87070000000017,1909,0.0654115767417497
2020-03-16,161.88870000000003,2513,0.06442049343414247
2020-03-17,291.24539999999973,2803,0.10390488762040662
2020-03-18,182.7281000000001,1794,0.10185512820512826
2020-03-19,204.5101000000003,1791,0.11418766052484662
2020-03-20,413.79690000000113,3029,0.1366117200396174
2020-03-21,503.3288999999996,3675,0.13696024489795908
2020-03-22,1306.622399999995,7446,0.17547977437550294
2020-03-23,2555.26239999997,19571,0.13056371161412142
2020-03-24,6163.504800000148,34867,0.17677187024981064
2020-03-25,4316.311799999976,21681,0.1990826899128258
2020-03-26,4347.774599999996,25600,0.16983494531249985
2020-03-27,4143.466299999998,23675,0.1750144160506863
2020-03-28,4747.674500000069,31233,0.15200827650241952
2020-03-29,3632.1337999999955,25518,0.1423361470334664
2020-03-30,3793.605599999986,26062,0.1455608011664487
2020-03-31,3124.0540999999853,21085,0.14816476642162604
2020-04-01,2800.5626999999745,18106,0.15467594719982186
2020-04-02,3597.205900000004,20750,0.1733593204819279
2020-04-03,3769.6470999999874,19428,0.19403166049001377
2020-04-04,3306.2568999999817,17378,0.19025531706755563
2020-04-05,3369.2339999999717,17163,0.19630798811396444
2020-04-06,3167.638599999973,16070,0.19711503422526278
2020-04-07,3957.0387999999775,18356,0.21557195467421975
2020-04-08,3887.4121999999697,19486,0.1994977009134748
2020-04-09,3685.1120999999916,18585,0.19828421307506008
2020-04-10,3677.361799999967,18998,0.19356573323507564
2020-04-11,3917.1153999999706,20402,0.1919966375845491
2020-04-12,3369.7701999999726,17765,0.18968591049816902
2020-04-13,3984.276999999965,19539,0.20391406929730105
2020-04-14,5042.506600000023,27881,0.18085816864531484
2020-04-15,2929.7221999999947,16930,0.17304915534554013
2020-04-16,4282.408000000023,22962,0.18649978224893402
2020-04-17,3316.1343999999863,18191,0.1822953328569065
2020-04-18,3156.4765999999922,15739,0.20055128025922817
2020-04-19,2952.030999999992,16716,0.17659912658530702
2020-04-20,2832.724299999988,16212,0.1747300949913637
2020-04-21,3183.6580999999746,19083,0.16683215951370198
2020-04-22,3425.518199999961,16451,0.20822553036289349
2020-04-23,3238.635199999963,15796,0.20502881742212983
2020-04-24,3615.3046999999715,16725,0.21616171599401923
2020-04-25,3399.781299999965,17214,0.19750094690368103
2020-04-26,3591.2152999999516,17086,0.21018467166100618
2020-04-27,3304.7814999999546,17874,0.18489322479579023
2020-04-28,3040.5387999999853,16238,0.18724835570883022
2020-04-29,2584.4298999999683,14122,0.18300735731482567
2020-04-30,2437.5843999999943,13668,0.1783424348844011
