date,neutral_count,sadness_count,anger_count,joy_count,fear_count,total_count,neutral_count_pct,sadness_count_pct,anger_count_pct,joy_count_pct,fear_count_pct
2020-03-05,336,16,6,2,38,398,84.42211055276381,4.0201005025125625,1.507537688442211,0.5025125628140703,9.547738693467336
2020-03-06,331,14,7,3,34,389,85.08997429305913,3.5989717223650386,1.7994858611825193,0.7712082262210797,8.740359897172237
2020-03-07,320,14,11,0,29,374,85.56149732620321,3.7433155080213902,2.941176470588235,0.0,7.754010695187167
2020-03-08,680,19,9,4,47,759,89.59156785243742,2.503293807641634,1.185770750988142,0.5270092226613966,6.192358366271409
2020-03-09,600,30,10,3,62,705,85.1063829787234,4.25531914893617,1.4184397163120568,0.425531914893617,8.794326241134751
2020-03-10,782,49,14,12,91,948,82.48945147679325,5.168776371308017,1.4767932489451476,1.2658227848101267,9.599156118143458
2020-03-11,656,68,25,11,145,905,72.48618784530386,7.513812154696133,2.7624309392265194,1.2154696132596685,16.022099447513813
2020-03-12,892,80,46,10,143,1171,76.17421007685738,6.831767719897523,3.928266438941076,0.8539709649871904,12.211784799316822
2020-03-13,964,81,62,30,178,1315,73.30798479087453,6.159695817490494,4.714828897338403,2.2813688212927756,13.536121673003803
2020-03-14,937,92,58,57,226,1370,68.39416058394161,6.715328467153285,4.233576642335766,4.160583941605839,16.4963503649635
2020-03-15,1284,139,94,75,316,1908,67.29559748427673,7.285115303983228,4.926624737945493,3.930817610062893,16.561844863731658
2020-03-16,1699,170,132,75,436,2512,67.63535031847134,6.7675159235668785,5.254777070063694,2.9856687898089174,17.35668789808917
2020-03-17,1905,235,116,119,428,2803,67.96289689618266,8.383874420264002,4.138423118087763,4.24545130217624,15.269354263289333
2020-03-18,1137,142,115,71,329,1794,63.37792642140469,7.915273132664437,6.41025641025641,3.9576365663322184,18.338907469342253
2020-03-19,1134,136,103,69,349,1791,63.31658291457286,7.593523171412618,5.750977107761027,3.8525963149078724,19.486320491345616
2020-03-20,1756,237,217,167,651,3028,57.992073976221924,7.826948480845443,7.166446499339497,5.515191545574637,21.499339498018493
2020-03-21,2133,282,240,195,824,3674,58.056614044637996,7.6755579749591725,6.5323897659227,5.307566684812194,22.427871529667936
2020-03-22,4544,502,355,477,1568,7446,61.02605425731936,6.741874832124631,4.767660488853076,6.406124093473006,21.058286328229922
2020-03-23,9389,1727,1642,1943,4868,19569,47.97894629260565,8.825182686902755,8.390822218815472,9.928969288159845,24.876079513516274
2020-03-24,16267,2864,2157,4240,9337,34865,46.65710598020938,8.214541804101534,6.186720206510827,12.161193173669869,26.78043883550839
2020-03-25,10265,1989,1314,3630,4482,21680,47.34778597785978,9.174354243542435,6.060885608856088,16.743542435424356,20.673431734317344
2020-03-26,13033,2542,1449,3435,5141,25600,50.91015625000001,9.9296875,5.66015625,13.41796875,20.08203125
2020-03-27,10931,2457,1364,3834,5089,23675,46.171066525871176,10.378035902851108,5.761351636747624,16.19429778247096,21.495248152059133
2020-03-28,11342,4346,2569,5623,7353,31233,36.31415490026574,13.914769634681267,8.22527454935485,18.00339384625236,23.54240706944578
2020-03-29,8868,3904,2067,4587,6090,25516,34.754663740398186,15.300203793698072,8.100799498353974,17.976955635679573,23.8673773318702
2020-03-30,10835,3304,1967,4307,5647,26060,41.57712970069071,12.678434382194933,7.547966231772832,16.52724481964697,21.66922486569455
2020-03-31,8025,2628,1870,3696,4865,21084,38.062037564029595,12.464428002276607,8.869284765699108,17.52988047808765,23.07436918990704
2020-04-01,6571,2272,1515,3481,4266,18105,36.29384148025407,12.549019607843137,8.367854183927093,19.226732946699805,23.56255178127589
2020-04-02,7421,3036,1625,3784,4881,20747,35.76902684725503,14.63344097941871,7.8324577047283945,18.238781510579845,23.52629295801803
2020-04-03,6998,2087,1425,4461,4455,19426,36.02388551425924,10.74333367651601,7.335529702460619,22.9640687738083,22.93318233295583
2020-04-04,6542,1856,1182,3966,3831,17377,37.647465039995396,10.68078494561777,6.802094722909594,22.823272141336247,22.04638315014099
2020-04-05,6217,1726,1226,4410,3583,17162,36.22538165714952,10.057102901759702,7.143689546672882,25.696305791865747,20.87752010255215
2020-04-06,5810,1975,1093,3410,3782,16070,36.154324828873676,12.289981331673927,6.801493466085875,21.21966397013068,23.534536403235844
2020-04-07,6295,2368,1210,4318,4165,18356,34.29396382654173,12.90041403355851,6.59185007626934,23.523643495314882,22.690128568315536
2020-04-08,6882,2719,1328,4110,4446,19485,35.31947652040031,13.954323838850396,6.815499101873236,21.09314857582756,22.817551963048498
2020-04-09,6324,2461,1201,4237,4362,18585,34.02744148506861,13.241861716437988,6.462200699488835,22.797955340328222,23.470540758676353
2020-04-10,6459,2429,1542,4093,4475,18998,33.9983156121697,12.785556374355195,8.116643857248132,21.54437309190441,23.55511106432256
2020-04-11,6730,2708,1771,4313,4880,20402,32.986962062542894,13.273208508969708,8.680521517498283,21.14008430546025,23.91922360552887
2020-04-12,5379,2389,1461,4192,4344,17765,30.27863777089783,13.447790599493386,8.22403602589361,23.59696031522657,24.4525752884886
2020-04-13,6159,2576,1338,4774,4692,19539,31.521572240135114,13.18388863299043,6.847842775986488,24.433184912226828,24.01351143866114
2020-04-14,8749,3739,2501,5836,7055,27880,31.380918220946914,13.411047345767576,8.970588235294118,20.932568149210905,25.304878048780488
2020-04-15,6077,2169,1365,3436,3883,16930,35.89486119314826,12.811577082102776,8.062610750147666,20.295333727111636,22.935617247489663
2020-04-16,7921,3145,2009,4795,5092,22962,34.49612403100775,13.696542113056353,8.749237871265569,20.882327323403885,22.17576866126644
2020-04-17,5428,2531,1848,4179,4204,18190,29.840571742715778,13.914238592633316,10.159428257284222,22.97416162726773,23.111599780098953
2020-04-18,4744,2317,1433,3644,3600,15738,30.143601474139025,14.72232812301436,9.105350108018808,23.154149193035963,22.87457110179184
2020-04-19,5069,2465,1497,3545,4138,16714,30.327868852459016,14.748115352399186,8.956563360057437,21.209764269474693,24.757688165609668
2020-04-20,5185,2339,1354,3612,3721,16211,31.984454999691568,14.428474492628462,8.352353340324472,22.281167108753316,22.953550058602186
2020-04-21,5907,3169,1578,4037,4392,19083,30.954252476025783,16.60640360530315,8.269140072315674,21.154954671697325,23.015249174658074
2020-04-22,4799,2265,1342,4289,3755,16450,29.17325227963526,13.768996960486321,8.1580547112462,26.072948328267476,22.826747720364743
2020-04-23,4861,2276,1113,3944,3602,15796,30.77361357305647,14.40871106609268,7.046087617118257,24.968346416814384,22.803241326918208
2020-04-24,5112,2307,1346,4022,3938,16725,30.565022421524663,13.79372197309417,8.047832585949177,24.047832585949177,23.54559043348281
2020-04-25,4649,2580,1515,4116,4353,17213,27.008656248184508,14.988671353047115,8.801487248010224,23.912159414396093,25.289025736362053
2020-04-26,4879,2824,1395,3892,4096,17086,28.555542549455694,16.528151703148776,8.164579187639003,22.77888329626595,23.972843263490574
2020-04-27,5335,2916,1504,3895,4223,17873,29.84949364963912,16.31511218038382,8.414927544340625,21.792648128461924,23.62781849717451
2020-04-28,5063,2567,1368,3587,3653,16238,31.179948269491316,15.80859711787166,8.42468284271462,22.090158886562385,22.49661288336002
2020-04-29,4227,2589,1032,3200,3074,14122,29.932020960203936,18.33309729500071,7.307746778076759,22.65967993202096,21.767455034697637
2020-04-30,3847,2416,997,3467,2941,13668,28.146034533216273,17.6763242610477,7.294410301434007,25.36581796897864,21.51741293532338
