date,neutral_count,sadness_count,anger_count,joy_count,fear_count,total_count,neutral_count_pct,sadness_count_pct,anger_count_pct,joy_count_pct,fear_count_pct
2020-02-01,40,3,4,18,3,68,58.82352941176471,4.411764705882353,5.88235294117647,26.47058823529412,4.411764705882353
2020-02-02,121,3,0,20,4,148,81.75675675675676,2.027027027027027,0.0,13.513513513513514,2.7027027027027026
2020-02-03,78,1,3,2,1,85,91.76470588235294,1.1764705882352942,3.5294117647058822,2.3529411764705883,1.1764705882352942
2020-02-04,51,2,2,2,3,60,85.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,5.0
2020-02-05,47,2,4,0,0,53,88.67924528301887,3.7735849056603774,7.547169811320755,0.0,0.0
2020-02-06,42,4,1,2,0,49,85.71428571428571,8.16326530612245,2.0408163265306123,4.081632653061225,0.0
2020-02-07,60,5,0,1,6,72,83.33333333333334,6.944444444444445,0.0,1.3888888888888888,8.333333333333332
2020-02-08,50,4,1,3,3,61,81.9672131147541,6.557377049180328,1.639344262295082,4.918032786885246,4.918032786885246
2020-02-09,57,2,3,2,1,65,87.6923076923077,3.076923076923077,4.615384615384616,3.076923076923077,1.5384615384615385
2020-02-10,61,6,1,0,4,72,84.72222222222221,8.333333333333332,1.3888888888888888,0.0,5.555555555555555
2020-02-11,55,0,0,2,3,60,91.66666666666666,0.0,0.0,3.3333333333333335,5.0
2020-02-12,71,1,2,0,2,76,93.42105263157895,1.3157894736842104,2.631578947368421,0.0,2.631578947368421
2020-02-13,26,1,2,1,3,33,78.78787878787878,3.0303030303030303,6.0606060606060606,3.0303030303030303,9.090909090909092
2020-02-14,109,8,0,2,0,119,91.59663865546219,6.722689075630252,0.0,1.680672268907563,0.0
2020-02-15,49,0,2,1,2,54,90.74074074074075,0.0,3.7037037037037033,1.8518518518518516,3.7037037037037033
2020-02-16,31,0,0,1,1,33,93.93939393939394,0.0,0.0,3.0303030303030303,3.0303030303030303
2020-02-17,26,3,0,0,3,32,81.25,9.375,0.0,0.0,9.375
2020-02-18,58,11,0,4,2,75,77.33333333333333,14.666666666666666,0.0,5.333333333333334,2.666666666666667
2020-02-19,42,1,0,0,1,44,95.45454545454545,2.272727272727273,0.0,0.0,2.272727272727273
2020-02-20,42,1,0,4,0,47,89.36170212765957,2.127659574468085,0.0,8.51063829787234,0.0
2020-02-21,28,0,0,1,1,30,93.33333333333333,0.0,0.0,3.3333333333333335,3.3333333333333335
2020-02-22,27,0,1,1,1,30,90.0,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335
2020-02-23,40,0,1,2,0,43,93.02325581395348,0.0,2.3255813953488373,4.651162790697675,0.0
2020-02-24,35,2,2,1,4,44,79.54545454545455,4.545454545454546,4.545454545454546,2.272727272727273,9.090909090909092
2020-02-25,39,4,1,3,14,61,63.934426229508205,6.557377049180328,1.639344262295082,4.918032786885246,22.950819672131146
2020-02-26,55,4,2,7,6,74,74.32432432432432,5.405405405405405,2.7027027027027026,9.45945945945946,8.108108108108109
2020-02-27,87,4,4,5,9,109,79.81651376146789,3.669724770642202,3.669724770642202,4.587155963302752,8.256880733944955
2020-02-28,102,4,5,4,9,124,82.25806451612904,3.225806451612903,4.032258064516129,3.225806451612903,7.258064516129033
2020-02-29,73,2,4,1,8,88,82.95454545454545,2.272727272727273,4.545454545454546,1.1363636363636365,9.090909090909092
2020-03-01,77,2,3,1,5,88,87.5,2.272727272727273,3.4090909090909087,1.1363636363636365,5.681818181818182
2020-03-02,80,5,3,2,6,96,83.33333333333334,5.208333333333334,3.125,2.083333333333333,6.25
2020-03-03,97,2,8,10,6,123,78.86178861788618,1.6260162601626018,6.504065040650407,8.130081300813007,4.878048780487805
2020-03-04,169,4,10,9,13,205,82.4390243902439,1.951219512195122,4.878048780487805,4.390243902439024,6.341463414634147
2020-03-05,180,11,10,12,29,242,74.3801652892562,4.545454545454546,4.132231404958678,4.958677685950414,11.983471074380166
2020-03-06,160,13,9,10,26,218,73.39449541284404,5.963302752293578,4.128440366972478,4.587155963302752,11.926605504587156
2020-03-07,111,9,8,5,11,144,77.08333333333334,6.25,5.555555555555555,3.4722222222222223,7.638888888888889
2020-03-08,99,7,4,7,7,124,79.83870967741935,5.64516129032258,3.225806451612903,5.64516129032258,5.64516129032258
2020-03-09,147,13,13,4,19,196,75.0,6.63265306122449,6.63265306122449,2.0408163265306123,9.693877551020408
2020-03-10,128,12,8,19,15,182,70.32967032967034,6.593406593406594,4.395604395604396,10.43956043956044,8.241758241758241
2020-03-11,167,18,25,22,32,264,63.25757575757576,6.8181818181818175,9.469696969696969,8.333333333333332,12.121212121212121
2020-03-12,179,29,33,25,40,306,58.496732026143796,9.477124183006536,10.784313725490197,8.169934640522875,13.071895424836603
2020-03-13,226,33,38,31,69,397,56.92695214105793,8.312342569269521,9.571788413098236,7.8085642317380355,17.38035264483627
2020-03-14,238,48,47,38,56,427,55.73770491803278,11.241217798594848,11.00702576112412,8.899297423887589,13.114754098360656
2020-03-15,318,39,60,79,84,580,54.82758620689655,6.724137931034482,10.344827586206897,13.620689655172413,14.482758620689657
