date,neutral_count,sadness_count,anger_count,joy_count,fear_count,total_count,neutral_count_pct,sadness_count_pct,anger_count_pct,joy_count_pct,fear_count_pct
2020-02-01,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
2020-02-05,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
2020-02-06,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-14,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
2020-02-15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-18,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
2020-02-19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-27,2,1,0,0,0,3,66.66666666666666,33.33333333333333,0.0,0.0,0.0
2020-02-28,3,1,0,0,0,4,75.0,25.0,0.0,0.0,0.0
2020-02-29,1,1,0,0,0,2,50.0,50.0,0.0,0.0,0.0
2020-03-01,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-02,3,0,0,0,0,3,100.0,0.0,0.0,0.0,0.0
2020-03-03,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-04,3,0,0,0,0,3,100.0,0.0,0.0,0.0,0.0
2020-03-05,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
2020-03-06,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
2020-03-07,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-08,2,0,0,0,0,2,100.0,0.0,0.0,0.0,0.0
2020-03-09,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-10,3,0,0,0,1,4,75.0,0.0,0.0,0.0,25.0
2020-03-11,4,0,0,0,0,4,100.0,0.0,0.0,0.0,0.0
2020-03-12,0,0,0,0,1,1,0.0,0.0,0.0,0.0,100.0
2020-03-13,5,2,0,0,1,8,62.5,25.0,0.0,0.0,12.5
2020-03-14,3,1,0,1,3,8,37.5,12.5,0.0,12.5,37.5
2020-03-15,3,2,0,0,0,5,60.0,40.0,0.0,0.0,0.0
2020-03-16,11,5,1,0,0,17,64.70588235294117,29.411764705882355,5.88235294117647,0.0,0.0
2020-03-17,28,10,1,0,0,39,71.7948717948718,25.64102564102564,2.564102564102564,0.0,0.0
2020-03-18,12,6,0,0,0,18,66.66666666666666,33.33333333333333,0.0,0.0,0.0
2020-03-19,7,2,2,1,0,12,58.333333333333336,16.666666666666664,16.666666666666664,8.333333333333332,0.0
2020-03-20,7,6,0,0,5,18,38.88888888888889,33.33333333333333,0.0,0.0,27.77777777777778
2020-03-21,32,7,2,3,2,46,69.56521739130434,15.217391304347828,4.3478260869565215,6.521739130434782,4.3478260869565215
2020-03-22,22,13,0,3,2,40,55.00000000000001,32.5,0.0,7.5,5.0
2020-03-23,79,70,2,8,6,165,47.878787878787875,42.42424242424242,1.2121212121212122,4.848484848484849,3.6363636363636362
2020-03-24,82,104,7,11,7,211,38.862559241706165,49.28909952606635,3.3175355450236967,5.213270142180095,3.3175355450236967
2020-03-25,61,71,5,5,1,143,42.65734265734265,49.65034965034965,3.4965034965034967,3.4965034965034967,0.6993006993006993
2020-03-26,528,504,25,44,167,1268,41.6403785488959,39.74763406940063,1.971608832807571,3.4700315457413247,13.170347003154575
2020-03-27,315,297,33,36,112,793,39.722572509457756,37.452711223203025,4.16141235813367,4.539722572509458,14.123581336696093
2020-03-28,1229,856,188,500,447,3220,38.16770186335404,26.583850931677016,5.838509316770186,15.527950310559005,13.881987577639752
2020-03-29,1442,980,220,479,369,3490,41.31805157593123,28.08022922636103,6.303724928366762,13.724928366762176,10.573065902578795
2020-03-30,1149,787,171,325,310,2742,41.903719912472646,28.7016776075857,6.236323851203501,11.852662290299051,11.305616338439094
2020-03-31,954,713,173,263,201,2304,41.40625,30.946180555555557,7.508680555555555,11.414930555555555,8.723958333333332
2020-04-01,512,519,114,174,144,1463,34.99658236500342,35.47505126452495,7.792207792207792,11.89336978810663,9.842788790157211
2020-04-02,418,323,106,119,115,1081,38.66790009250694,29.879740980573544,9.805735430157261,11.00832562442183,10.638297872340425
2020-04-03,492,287,96,122,142,1139,43.19578577699736,25.197541703248465,8.428446005267778,10.711150131694469,12.467076382791923
2020-04-04,333,227,62,114,142,878,37.92710706150342,25.854214123006834,7.061503416856492,12.984054669703873,16.173120728929387
2020-04-05,239,150,70,47,79,585,40.85470085470085,25.64102564102564,11.965811965811966,8.034188034188034,13.504273504273504
