date,neutral_count,positive_count,negative_count,total,neutral_count_pct,positive_count_pct,negative_count_pct
2020-02-01,78,126,96,300,26.0,42.0,32.0
2020-02-02,113,127,148,388,29.12371134020619,32.7319587628866,38.144329896907216
2020-02-03,77,60,76,213,36.15023474178404,28.169014084507044,35.68075117370892
2020-02-04,122,85,121,328,37.19512195121951,25.914634146341463,36.890243902439025
2020-02-05,69,96,114,279,24.731182795698924,34.40860215053764,40.86021505376344
2020-02-06,76,63,104,243,31.275720164609055,25.925925925925924,42.79835390946502
2020-02-07,105,68,119,292,35.95890410958904,23.28767123287671,40.75342465753425
2020-02-08,90,66,85,241,37.344398340248965,27.385892116182575,35.26970954356847
2020-02-09,63,54,110,227,27.75330396475771,23.788546255506606,48.458149779735685
2020-02-10,67,107,103,277,24.187725631768952,38.628158844765345,37.18411552346571
2020-02-11,33,70,62,165,20.0,42.42424242424242,37.57575757575757
2020-02-12,53,86,70,209,25.358851674641148,41.14832535885167,33.49282296650718
2020-02-13,79,112,145,336,23.511904761904763,33.33333333333333,43.154761904761905
2020-02-14,40,75,90,205,19.51219512195122,36.58536585365854,43.90243902439025
2020-02-15,77,70,81,228,33.771929824561404,30.701754385964914,35.526315789473685
2020-02-16,78,76,132,286,27.27272727272727,26.573426573426573,46.15384615384615
2020-02-17,89,102,119,310,28.70967741935484,32.903225806451616,38.387096774193544
2020-02-18,71,62,95,228,31.140350877192986,27.192982456140353,41.66666666666667
2020-02-19,72,44,76,192,37.5,22.916666666666664,39.58333333333333
2020-02-20,49,49,99,197,24.873096446700508,24.873096446700508,50.25380710659898
2020-02-21,49,53,84,186,26.344086021505376,28.49462365591398,45.16129032258064
2020-02-22,39,37,54,130,30.0,28.46153846153846,41.53846153846154
2020-02-23,61,60,120,241,25.311203319502074,24.896265560165975,49.79253112033195
2020-02-24,50,67,94,211,23.696682464454977,31.753554502369667,44.54976303317535
2020-02-25,62,54,61,177,35.02824858757062,30.508474576271187,34.463276836158194
2020-02-26,52,49,76,177,29.37853107344633,27.683615819209038,42.93785310734463
2020-02-27,106,81,87,274,38.68613138686132,29.56204379562044,31.751824817518248
2020-02-28,57,94,94,245,23.26530612244898,38.36734693877551,38.36734693877551
2020-02-29,46,66,90,202,22.772277227722775,32.67326732673268,44.554455445544555
2020-03-01,35,67,92,194,18.04123711340206,34.5360824742268,47.42268041237113
2020-03-02,59,80,94,233,25.321888412017167,34.33476394849785,40.343347639484975
2020-03-03,124,119,168,411,30.170316301703163,28.953771289537713,40.87591240875913
2020-03-04,123,217,202,542,22.693726937269375,40.03690036900369,37.269372693726936
2020-03-05,106,129,163,398,26.633165829145728,32.41206030150754,40.95477386934673
2020-03-06,123,126,140,389,31.619537275064268,32.390745501285345,35.98971722365039
2020-03-07,97,127,150,374,25.935828877005346,33.9572192513369,40.106951871657756
2020-03-08,248,211,300,759,32.674571805006586,27.79973649538867,39.52569169960474
2020-03-09,199,230,276,705,28.22695035460993,32.62411347517731,39.148936170212764
2020-03-10,289,263,396,948,30.485232067510548,27.742616033755276,41.77215189873418
2020-03-11,227,339,339,905,25.082872928176798,37.4585635359116,37.4585635359116
2020-03-12,292,467,412,1171,24.93595217762596,39.880444064901795,35.18360375747225
2020-03-13,296,536,483,1315,22.509505703422054,40.760456273764255,36.73003802281369
2020-03-14,315,528,527,1370,22.99270072992701,38.54014598540146,38.46715328467153
2020-03-15,431,837,641,1909,22.57726558407543,43.84494499738083,33.57778941854374
2020-03-16,559,1100,854,2513,22.24432948666932,43.772383605252685,33.98328690807799
2020-03-17,694,1272,837,2803,24.759186585800926,45.37995005351409,29.86086336068498
2020-03-18,388,841,565,1794,21.627647714604237,46.878483835005575,31.49386845039019
